locale,key,value
nl,There is a “win/lose” mentality on the team where my gains become someone else’s losses.,Er is in het team een mentaliteit van winnen en verliezen: het gewin van de één gaat ten koste van de ander.
no,There is a “win/lose” mentality on the team where my gains become someone else’s losses.,Det er en vinne/tape-mentalitet i teamet slik at min gevinst blir en annens tap.
pl,There is a “win/lose” mentality on the team where my gains become someone else’s losses.,"W zespole panuje nastawienie „wygrana/przegrana"", gdzie wygrana jednej osoby oznacza porażkę innego członka zespołu."
pt,There is a “win/lose” mentality on the team where my gains become someone else’s losses.,"Existe entre nós a mentalidade ganha / perde, onde meus ganhos resultam em perdas para outra pessoa."
ru,There is a “win/lose” mentality on the team where my gains become someone else’s losses.,"В команде преобладает менталитет «победил/проиграл», когда мои личные победы оборачиваются чьими-то поражениями."
es,There is a “win/lose” mentality on the team where my gains become someone else’s losses.,Hay una mentalidad de “ganador/perdedor” donde mis ganancias resultan ser las pérdidas de otro.
sv,There is a “win/lose” mentality on the team where my gains become someone else’s losses.,Det finns en tävlingsmentalitet i teamet som innebär att den enes framgång blir den andres förlust.
tr,There is a “win/lose” mentality on the team where my gains become someone else’s losses.,Ekipte benim kazançlarımın bir başkasının kaybı olacağı “kazan/kaybet” anlayışı var.
zh,There is a “win/lose” mentality on the team where my gains become someone else’s losses.,"在我们的团队中存在“非输即赢”的心态, 即我的成功意味着别人的失败."
le,There is a “win/lose” mentality on the team where my gains become someone else’s losses.,"There appears to be a ""win/lose"" mentality on this team where one person's gains become another person's losses.
"
ex,There is a “win/lose” mentality on the team where my gains become someone else’s losses.,En el equipo hay una mentalidad “ganador/perdedor” en la que mis ganancias son las pérdidas de otro.
og,There is a “win/lose” mentality on the team where my gains become someone else’s losses.,"There is a ""win / lose"" mentality in our organization where one person’s gains become someone else's losses."
ft,There is a “win/lose” mentality on the team where my gains become someone else’s losses.,There is a “win/lose” mentality in this family where my achievements become someone else’s losses.
fx,There is a “win/lose” mentality on the team where my gains become someone else’s losses.,"Il y a une mentalité «gagnant/perdant» dans l’équipe où si je gagne quelque chose, c’est aux dépens de quelqu’un d’autre."
tx,There is a “win/lose” mentality on the team where my gains become someone else’s losses.,"There appears to be a ""win/lose"" mentality on the team where one person's gains become another person's losses."
po,There is a “win/lose” mentality on the team where my gains become someone else’s losses.,"Existe uma mentalidade de ganha/perde, ou seja, para que eu ganhe algo, alguém vai ter que perder."
ar,There is not a “win/lose“ mentality on the team where my gains become someone else’s losses.,"لا يبدو أن هناك عقلية ""الفوز والخسارة"" في هذا الفريق حيث مكاسبي تصبح خسارة لشخص آخر."
da,There is not a “win/lose“ mentality on the team where my gains become someone else’s losses.,"Vores team er ikke præget af en enten/eller holdning, hvor mine sejre er andres nederlag."
de,There is not a “win/lose“ mentality on the team where my gains become someone else’s losses.,"In unserem Team herrscht keine „Gewinner-Verlierer"" Mentalität vor, bei der mein Gewinn einen Verlust für jemand anderen bedeutet."
el,There is not a “win/lose“ mentality on the team where my gains become someone else’s losses.,"ΔΕΝ υπάρχει μιά νοοτροπία ""κερδίζω / χάνει"" στην Ομάδα, δηλαδή τα οφέλη μου ΔΕΝ μεταφράζονται σε κάποιου άλλου τη χασούρα."
fi,There is not a “win/lose“ mentality on the team where my gains become someone else’s losses.,"Tiimissämme ei vallitse sellaista henkeä, jossa toisen voitto on toisen tappio."
fr,There is not a “win/lose“ mentality on the team where my gains become someone else’s losses.,"Il n'y a pas une mentalité « gagnant/perdant » dans l’équipe où si je gagnais quelque chose, ce serait aux dépends de quelqu’un d’autre."
he,There is not a “win/lose“ mentality on the team where my gains become someone else’s losses.,"לא קיימת תרבות ""מפסיד/מנצח"" במובן שהרווח שלי הינו הפסד של האחר."
it,There is not a “win/lose“ mentality on the team where my gains become someone else’s losses.,"Non c’è, nel nostro team, una mentalità «win/lose» per cui i miei successi diventano le sconfitte di qualcun altro."
ja,There is not a “win/lose“ mentality on the team where my gains become someone else’s losses.,"チーム内で、ある人のためになることが、ほかの人の負担になる場合でも
それを「勝ち / 負け」と捉えることはありません。"
nl,There is not a “win/lose“ mentality on the team where my gains become someone else’s losses.,Er is in dit team geen “win/lose”-mentaliteit waar winnen ten koste van de ander gaat.
no,There is not a “win/lose“ mentality on the team where my gains become someone else’s losses.,"Det er ikke en vinne/tape-mentalitet i teamet, hvor min gevinst blir en annens tap."
pl,There is not a “win/lose“ mentality on the team where my gains become someone else’s losses.,"W zespole nie ma nastawienia „wygrana/przegrana"", gdzie wygrana jednej osoby oznacza porażkę innego członka zespołu."
pt,There is not a “win/lose“ mentality on the team where my gains become someone else’s losses.,"Não existe entre nós a mentalidade ganha / perde, onde meus ganhos resultam em perdas para outra pessoa."
ru,There is not a “win/lose“ mentality on the team where my gains become someone else’s losses.,"Команде не присущ менталитет «победил/проиграл», когда мои личные победы оборачиваются чьими-то поражениями."
es,There is not a “win/lose“ mentality on the team where my gains become someone else’s losses.,No hay una mentalidad de “ganador/perdedor” donde mis ganancias resultan ser las pérdidas de otro.
sv,There is not a “win/lose“ mentality on the team where my gains become someone else’s losses.,Det finns ingen tävlingsmentalitet i teamet som innebär att den enes framgång blir den andres förlust.
tr,There is not a “win/lose“ mentality on the team where my gains become someone else’s losses.,Ekipte benim kazançlarımın bir başkasının kaybı olacağı “kazan/kaybet” anlayışı yok.
zh,There is not a “win/lose“ mentality on the team where my gains become someone else’s losses.,"在我们的团队中不存在“非输即赢”的心态, 即我的成功意味着别人的失败."
le,There is not a “win/lose“ mentality on the team where my gains become someone else’s losses.,"There does not appear to be a ""win/lose"" mentality on this team.
"
ex,There is not a “win/lose“ mentality on the team where my gains become someone else’s losses.,En el equipo no hay una mentalidad “ganador/perdedor” en la que mis ganancias son las pérdidas de otro.
og,There is not a “win/lose“ mentality on the team where my gains become someone else’s losses.,"There is not a ""win / lose"" mentality in our organization where one person’s gains become someone else's losses. "
ft,There is not a “win/lose“ mentality on the team where my gains become someone else’s losses.,There is not a “win/lose” mentality on this family where my achievements become someone else’s losses.
fx,There is not a “win/lose“ mentality on the team where my gains become someone else’s losses.,"Il n'y a pas une mentalité «gagnant/perdant» dans l’équipe où si je gagnais quelque chose, ce serait aux dépens de quelqu’un d’autre."
tx,There is not a “win/lose“ mentality on the team where my gains become someone else’s losses.,"There does not appear to be a ""win/lose"" mentality on this team."
po,There is not a “win/lose“ mentality on the team where my gains become someone else’s losses.,"Não existe uma mentalidade de ganha/perde, ou seja, para que eu ganhe algo não é necessário que os outros percam."
en,"On our team, there is a collective ownership of results.","On our team, there is a collective ownership of results."
en,"On our team, there is a collective ownership of results.","On our team, there is a collective ownership of results."
ar,"On our team, there is a collective ownership of results.",في فريقنا: هناك تحمل جماعي للمسؤولية عن النتائج.
da,"On our team, there is a collective ownership of results.",Vi har fælles ejerskab til resultaterne i vores team.
de,"On our team, there is a collective ownership of results.",In unserem Team fühlen wir uns gemeinsam für die Ergebnisse verantwortlich.
el,"On our team, there is a collective ownership of results.",Στην Ομάδα μας επικρατεί πνεύμα συνολικής αποδοχής αποτελεσμάτων. 
fi,"On our team, there is a collective ownership of results.",Tiimissämme kannetaan yhteisvastuuta tuloksista.
fr,"On our team, there is a collective ownership of results.","Dans notre équipe, il y a  une mise en commun des résultats."
he,"On our team, there is a collective ownership of results.",בצוות שלנו התוצאות שייכות לכולם
it,"On our team, there is a collective ownership of results.",Nel nostro team ci sentiamo collegialmente responsabili dei risultati.
ja,"On our team, there is a collective ownership of results.",私たちのチームでは、結果を全員で受け入れ、分かち合っています。
nl,"On our team, there is a collective ownership of results.",In ons team beschouwen we de resultaten als van ons gezamenlijk.
no,"On our team, there is a collective ownership of results.",I vårt team har vi et kollektivt eierskap til resultater.
pl,"On our team, there is a collective ownership of results.",W naszym zespole wspólnie odpowiadamy za wyniki.
pt,"On our team, there is a collective ownership of results.",Em nosso time nos sentimos co-responsáveis pelos resultados.
ru,"On our team, there is a collective ownership of results.","Каждый член команды знает, что общий результат – это и его результат."
es,"On our team, there is a collective ownership of results.","En nuestro equipo, los resultados nos pertenecen a todos."
sv,"On our team, there is a collective ownership of results.",I vårt team tar var och en ett gemensamt ansvar för resultatet.
tr,"On our team, there is a collective ownership of results.",Ekibimizde sonuçlara ortak sahiplenme vardır.
zh,"On our team, there is a collective ownership of results.",在我们的团队中大家共同为结果负责.
le,"On our team, there is a collective ownership of results.","On this team there is collective ownership of results.
"
ex,"On our team, there is a collective ownership of results.",En nuestro equipo los resultados nos pertenecen a todos.
og,"On our team, there is a collective ownership of results.",In our organization there is a collective ownership of results.
ft,"On our team, there is a collective ownership of results.","In our family, there is a collective ownership of achievements."
fx,"On our team, there is a collective ownership of results.","Dans notre équipe, nous assumons collectivement la responsabilité des résultats."
tx,"On our team, there is a collective ownership of results.",There appears to be a collective ownership of results on the team.
po,"On our team, there is a collective ownership of results.",Na nossa equipa sentimo-nos todos co-responsáveis pelos resultados alcançados.
en,New or controversial ideas are discouraged.,New or controversial ideas are discouraged.
en,New or controversial ideas are encouraged.,New or controversial ideas are encouraged.
ar,New or controversial ideas are discouraged.,يتم تثبيط الأفكار الجديدة أو المثيرة للجدل.
da,New or controversial ideas are discouraged.,Nye og/eller anderledes ideer er ikke velkomne.
de,New or controversial ideas are discouraged.,Neue oder umstrittene Ideen werden ausgebremst.
el,New or controversial ideas are discouraged.,"Νέες, πρωτότυπες ή μη δοκιμασμένες ιδέες δεν ενθαρρύνονται."
fi,New or controversial ideas are discouraged.,Uusia tai kiistanalaisia ideoita vastustetaan.
fr,New or controversial ideas are discouraged.,Les idées nouvelles ou controversées sont découragées.
he,New or controversial ideas are discouraged.,בצוות שלנו לא מעודדים רעיונות חדשים או חריגים.
it,New or controversial ideas are discouraged.,"Le idee innovative o su cui vi sono pareri opposti, sono scoraggiate."
ja,New or controversial ideas are discouraged.,私たちのチームでは、新しいアイデアや物議を醸しそうなアイデアは歓迎されません。
nl,New or controversial ideas are discouraged.,Nieuwe en/of controversiële ideeën worden ontmoedigd.
no,New or controversial ideas are discouraged.,Nye eller kontroversielle ideer motarbeides.
pl,New or controversial ideas are discouraged.,Nowe i/lub kontrowersyjne pomysły spotykają się z niechęcią.
pt,New or controversial ideas are discouraged.,Ideias novas ou controversas não são bem recebidas.
ru,New or controversial ideas are discouraged.,Новые и/или спорные идеи не поощряются.
es,New or controversial ideas are discouraged.,Se desalientan las ideas nuevas y controversiales.
sv,New or controversial ideas are discouraged.,Nya eller kontroversiella idéer uppmuntras inte.
tr,New or controversial ideas are discouraged.,Yeni veya tartışmalı fikirler teşvik edilmez.
zh,New or controversial ideas are discouraged.,新的或有争议的想法是不被鼓励的.
le,New or controversial ideas are discouraged.,"New and/or controversial ideas are discouraged by this team.
"
ex,New or controversial ideas are discouraged.,Se desanima a tener ideas nuevas o controvertidas.
og,New or controversial ideas are discouraged.,New or controversial ideas are discouraged in our organization.
ft,New or controversial ideas are discouraged.,New and/or controversial ideas are discouraged in this family. 
fx,New or controversial ideas are discouraged.,Les idées nouvelles ou controversées sont découragées.
po,New or controversial ideas are discouraged.,Não são encorajadas ideias novas ou controversas.
ar,New or controversial ideas are encouraged.,يتم تشجيع الأفكار الجديدة أو المثيرة للجدل.
da,New or controversial ideas are encouraged.,Nye og/eller anderledes ideer bliver budt velkommen 
de,New or controversial ideas are encouraged.,Neue oder umstrittene Ideen werden gefördert.
el,New or controversial ideas are encouraged.,"Νέες, πρωτότυπες ή μη δοκιμασμένες ιδέες δεν ΑΠΟθαρρύνονται."
fi,New or controversial ideas are encouraged.,Uusien tai kiistanalaisten ideoiden esittämistä rohkaistaan.
fr,New or controversial ideas are encouraged.,Les idées nouvelles ou controversées sont encouragées.  
he,New or controversial ideas are encouraged.,"בצוות שלנו מעודדים רעיונות חדשים או חריגים.
"
it,New or controversial ideas are encouraged.,"Le idee innovative o su cui vi sono pareri opposti, sono incoraggiate."
ja,New or controversial ideas are encouraged.,私たちのチームでは、新しいアイデアや物議を醸しそうなアイデアを歓迎します。
nl,New or controversial ideas are encouraged.,Nieuwe of controversiële ideeën worden toegejuicht.
no,New or controversial ideas are encouraged.,Nye eller kontroversielle ideer oppmuntres.
pl,New or controversial ideas are encouraged.,Nowe i/lub kontrowersyjne pomysły spotykają się z zachętą.
pt,New or controversial ideas are encouraged.,Ideias novas ou controversas são bem recebidas.
ru,New or controversial ideas are encouraged.,Мы не препятствуем новым или противоречивым идеям.
es,New or controversial ideas are encouraged.,Se promueven las ideas nuevas o controversiales.
sv,New or controversial ideas are encouraged.,Nya eller kontroversiella idéer uppmuntras.
tr,New or controversial ideas are encouraged.,Yeni veya tartışmalı fikirler teşvik edilir.
zh,New or controversial ideas are encouraged.,新的或有争议的想法是被鼓励的.
le,New or controversial ideas are encouraged.,"New and/or controversial ideas are not discouraged by this team.
"
ex,New or controversial ideas are encouraged.,Se promueve tener ideas nuevas o controvertidas.
og,New or controversial ideas are encouraged.,New or controversial ideas are not discouraged in our organization.
ft,New or controversial ideas are encouraged.,New and/or controversial ideas are encouraged in this family.
fx,New or controversial ideas are encouraged.,Les idées nouvelles ou controversées sont encouragées.
po,New or controversial ideas are encouraged.,São encorajadas ideias novas ou controversas.
en,There is a strong sense of camaraderie and belonging on our team.,There is a strong sense of camaraderie and belonging on our team.
en,There is a strong sense of camaraderie and belonging on our team.,There is a strong sense of camaraderie and belonging on our team.
ar,There is a strong sense of camaraderie and belonging on our team.,هناك شعور قوي بالأُلفة والانتماء في فريقنا.
da,There is a strong sense of camaraderie and belonging on our team.,Vi har en stærk fællesskabsfølelse og tilhørsforhold i teamet.  
de,There is a strong sense of camaraderie and belonging on our team.,In unserem Team gibt es ein starkes Gefühl von Kameradschaft und Zugehörigkeit.
el,There is a strong sense of camaraderie and belonging on our team.,Υπάρχει δυνατή αίσθηση «ότι ανήκουμε στην ομάδα» και ισχυρό αίσθημα αλληλεγγύης μεταξύ μας.  
fi,There is a strong sense of camaraderie and belonging on our team.,Tiimissämme on vahva yhteenkuuluvaisuuden ja toveruuden henki.
fr,There is a strong sense of camaraderie and belonging on our team.,Il y a un sens très développé de la camaraderie et d’appartenance dans notre équipe.
he,There is a strong sense of camaraderie and belonging on our team.,יש תחושה חזקה של חברות ושייכות בצוות שלנו.
it,There is a strong sense of camaraderie and belonging on our team.,C’è un forte senso di sentirsi parte di una squadra nel nostro team.
ja,There is a strong sense of camaraderie and belonging on our team.,私たちのチームには、強い仲間意識と帰属意識があります。
nl,There is a strong sense of camaraderie and belonging on our team.,In ons team hebben mensen het gevoel erbij te horen en is er kameraadschap.
no,There is a strong sense of camaraderie and belonging on our team.,Det er en sterk følelse av kameratskap og tilhørighet i vårt team.
pl,There is a strong sense of camaraderie and belonging on our team.,W zespole panuje silne poczucie koleżeństwa i przynależności.
pt,There is a strong sense of camaraderie and belonging on our team.,Em nosso time existe um importante senso de companheirismo e pertencimento.
ru,There is a strong sense of camaraderie and belonging on our team.,Нашей команде присущ дух товарищества и осознание чувства общности.
es,There is a strong sense of camaraderie and belonging on our team.,Hay un fuerte sentido de compañerismo y pertenencia al equipo.
sv,There is a strong sense of camaraderie and belonging on our team.,Det finns en stark känsla av kamratskap och tillhörighet i vårt team.
tr,There is a strong sense of camaraderie and belonging on our team.,Ekibimizde güçlü bir yoldaşlık ve aidiyet duygusu var.
zh,There is a strong sense of camaraderie and belonging on our team.,我们的团队中有很强的同事情谊和归属感.
le,There is a strong sense of camaraderie and belonging on our team.,"There is a strong sense of camaraderie and belonging on this team.
"
ex,There is a strong sense of camaraderie and belonging on our team.,Hay un fuerte sentido de camaradería y pertenencia en nuestro equipo. 
og,There is a strong sense of camaraderie and belonging on our team.,There is a strong sense of camaraderie and belonging in our organization.
ft,There is a strong sense of camaraderie and belonging on our team.,There is a strong sense of harmony and belonging in our family.
fx,There is a strong sense of camaraderie and belonging on our team.,Il y a un sens très développé de camaraderie et d’appartenance dans l’équipe.
tx,There is a strong sense of camaraderie and belonging on our team.,There seems to be a strong sense of camaraderie on that team.
po,There is a strong sense of camaraderie and belonging on our team.,Na nossa equipa existe um forte sentimento de companheirismo e pertença.
en,Team members criticize others behind their backs.,Team members criticize others behind their backs.
en,Team members do not criticize others behind their backs.,Team members do not criticize others behind their backs.
ar,Team members criticize others behind their backs.,يقوم أعضاء الفريق بانتقاد الأعضاء الآخرين في غيبتهم.
da,Team members criticize others behind their backs.,Folk i teamet går bag om ryggen på hinanden med kritik.
de,Team members criticize others behind their backs.,Teammitglieder kritisieren andere hinter ihrem Rücken.
el,Team members criticize others behind their backs.,Τα μέλη της ομάδας αλληλο-επικρίνονται πίσω από τις πλάτες τους.
fi,Team members criticize others behind their backs.,Tiimin jäsenet arvostelevat toisiaan selän takana.
fr,Team members criticize others behind their backs.,Les membres de l’équipe se critiquent les uns les autres dans leurs dos.
he,Team members criticize others behind their backs.,חברי הצוות  מעבירים ביקורת זה על זה מאחורי הגב.
it,Team members criticize others behind their backs.,I membri del team criticano gli altri alle loro spalle.
ja,Team members criticize others behind their backs.,私たちのチームでは、　陰で他人を批判します。
nl,Team members criticize others behind their backs.,Teamleden leveren kritiek op elkaar achter elkaars hun rug om.
no,Team members criticize others behind their backs.,Medlemmer av teamet baksnakker hverandre.
pl,Team members criticize others behind their backs.,Członkowie zespołu krytykują się wzajemnie za plecami.
pt,Team members criticize others behind their backs.,Membros do time criticam uns aos outros pelas costas.
ru,Team members criticize others behind their backs.,Члены команды критикуют друг друга за спиной друг у друга.
es,Team members criticize others behind their backs.,Miembros del equipo critican a otros a sus espaldas.
sv,Team members criticize others behind their backs.,Medlemmar i teamet kritiserar andra bakom deras rygg.
tr,Team members criticize others behind their backs.,Ekibimizin üyeleri birbirlerinin arkalarından konuşarak eleştirirler.
zh,Team members criticize others behind their backs.,团队成员会在他人背后批评他们.
le,Team members criticize others behind their backs.,"On this team, team members criticize others behind their backs."
ex,Team members criticize others behind their backs.,Los miembros del equipo critican a otros a sus espaldas. 
og,Team members criticize others behind their backs.,"In our organization, people criticize others behind their backs. "
ft,Team members criticize others behind their backs.,Family members criticize other family members behind their backs.
fx,Team members criticize others behind their backs.,Les membres de l’équipe parlent dans le dos des uns et des autres.
tx,Team members criticize others behind their backs.,Team members criticize other team members behind their backs. 
gb,Team members criticize others behind their backs.,Team members criticise others behind their backs.
po,Team members criticize others behind their backs.,Os membros da equipa criticam os outros nas suas costas.
ar,Team members do not criticize others behind their backs.,لا يقوم أعضاء الفريق بانتقاد الأعضاء الآخرين في غيبتهم.
da,Team members do not criticize others behind their backs.,Folk i teamet går ikke bag om ryggen på hinanden med kritik.
de,Team members do not criticize others behind their backs.,Teammitglieder kritisieren andere nicht hinter ihrem Rücken.
el,Team members do not criticize others behind their backs.,Τα μέλη της ομάδας ΔΕΝ αλληλο-επικρίνονται πίσω από τις πλάτες τους.
fi,Team members do not criticize others behind their backs.,Tiimin jäsenet eivät arvostele toisiaan selän takana.
fr,Team members do not criticize others behind their backs.,Les membres de l’équipe ne se critiquent pas les uns les autres dans leurs dos.
he,Team members do not criticize others behind their backs.,"חברי הצוות אינם מעבירים ביקורת זה על זה מאחורי הגב.
"
it,Team members do not criticize others behind their backs.,I membri del team non criticano gli altri alle loro spalle.
ja,Team members do not criticize others behind their backs.,"私たちのチームでは、陰で他人を批判することはありません。
"
nl,Team members do not criticize others behind their backs.,Teamleden leveren geen kritiek op elkaar achter elkaars rug om.
no,Team members do not criticize others behind their backs.,Medlemmer av teamet baksnakker ikke hverandre.
pl,Team members do not criticize others behind their backs.,Członkowie zespołu nie krytykują się nawzajem za plecami.
pt,Team members do not criticize others behind their backs.,Membros do time não criticam uns aos outros pelas costas.
ru,Team members do not criticize others behind their backs.,Члены команды не критикуют друг друга за спиной друг у друга.
es,Team members do not criticize others behind their backs.,Miembros del equipo no critican a otros a sus espaldas.
sv,Team members do not criticize others behind their backs.,Medlemmar i teamet kritiserar inte andra bakom deras rygg.
tr,Team members do not criticize others behind their backs.,Ekibimizin üyeleri birbirlerinin arkalarından konuşarak eleştirmezler.
zh,Team members do not criticize others behind their backs.,团队成员不会在他人背后批评他们.
le,Team members do not criticize others behind their backs.,"On this team, team members do not criticize others behind their backs."
ex,Team members do not criticize others behind their backs.,Los miembros del equipo no critican a otros a sus espaldas.
og,Team members do not criticize others behind their backs.,"In our organization, people do not criticize others behind their backs. "
ft,Team members do not criticize others behind their backs.,Family members do not criticize other family members behind their backs.
fx,Team members do not criticize others behind their backs.,Les membres de l’équipe ne parlent pas dans le dos des uns et des autres.
tx,Team members do not criticize others behind their backs.,Team members do not criticize other team members behind their backs.
gb,Team members do not criticize others behind their backs.,Team members do not criticise others behind their backs.
po,Team members do not criticize others behind their backs.,Os membros da equipa não criticam os outros nas suas costas.
en,“Playing politics“ is used to get one’s way on our team.,“Playing politics“ is used to get one’s way on our team.
en,“Playing politics“ is not used to get one’s way on our team.,“Playing politics“ is not used to get one’s way on our team.
ar,“Playing politics“ is used to get one’s way on our team.,"يتم استخدام ""الألاعيب السياسة"" في فريقنا ليحقق الناس أجندتهم."
da,“Playing politics“ is used to get one’s way on our team.,"Der handles strategisk i vores team, når nogen vil have deres vilje gennemtrumfet."
de,“Playing politics“ is used to get one’s way on our team.,"In unserem Team werden „politische Spielchen“ gespielt, um den eigenen Willen durchzusetzen."
el,“Playing politics“ is used to get one’s way on our team.,"χρησιμοποιούνται ""παιχνίδια πολιτικής"" για να προοδεύσουμε και να εξελιχθούμε στην ομάδα μας"
fi,“Playing politics“ is used to get one’s way on our team.,Tiimissämme käytetään “politikointia” asioiden edistämiseen.
fr,“Playing politics“ is used to get one’s way on our team.,Il faut « la jouer politique » lorsqu’on veut obtenir quelque chose dans notre équipe.
he,“Playing politics“ is used to get one’s way on our team.,"חברי הצוות משתמשים ב""משחקים פוליטיים"" להשגת מטרות אישיות."
it,“Playing politics“ is used to get one’s way on our team.,Si usa fare «manovre politiche» per farsi strada nel nostro team.
ja,“Playing politics“ is used to get one’s way on our team.,"私たちのチームでは、
自分のやり方を通すために政治的に策を弄することがあります。"
nl,“Playing politics“ is used to get one’s way on our team.,Er worden in ons team politieke spelletjes gespeeld om de eigen zin door te drijven.
no,“Playing politics“ is used to get one’s way on our team.,Det er vanlig med lobbyvirksomhet for å få viljen sin i vårt team.
pl,“Playing politics“ is used to get one’s way on our team.,W zespole „polityczne rozgrywki” są stosowane do osiągania własnych celów.
pt,“Playing politics“ is used to get one’s way on our team.,"Em nosso time, as pessoas usam de politicagem em interesse próprio."
ru,“Playing politics“ is used to get one’s way on our team.,"В нашей команде принято «играть в политику» для того, чтобы добиться своего."
es,“Playing politics“ is used to get one’s way on our team.,“Actuar políticamente” es usado como un medio para lograr lo que queremos individualmente.
sv,“Playing politics“ is used to get one’s way on our team.,Taktiskt “rävspel” används för att få sin vilja igenom i vårt team.
tr,“Playing politics“ is used to get one’s way on our team.,Ekibimizde kişilerin işlerini halletme yöntemi olarak politik yaklaşımlar kullanılır.
zh,“Playing politics“ is used to get one’s way on our team.,"在我们的团队中, “玩政治”会被用作一种超越他人的手段."
le,“Playing politics“ is used to get one’s way on our team.,"""Playing politics"" is a tactic used by team members to get their way.
"
